type,interval_seconds
all_interactions,0.625
all_interactions,0.064
all_interactions,1.521
all_interactions,6.735
all_interactions,0.562
all_interactions,1.867
all_interactions,0.583
all_interactions,0.6
all_interactions,1.033
all_interactions,0.567
all_interactions,2.618
all_interactions,1.624
all_interactions,0.09
all_interactions,0.868
all_interactions,1.796
all_interactions,0.855
all_interactions,1.366
all_interactions,0.762
all_interactions,2.555
all_interactions,0.599
all_interactions,2.085
all_interactions,0.631
all_interactions,1.47
all_interactions,0.291
all_interactions,1.767
all_interactions,1.494
all_interactions,2.006
all_interactions,0.823
all_interactions,1.462
all_interactions,0.018
all_interactions,8.822
all_interactions,1.409
all_interactions,0.607
all_interactions,0.662
all_interactions,1.616
all_interactions,2.984
all_interactions,0.416
all_interactions,0.921
all_interactions,11.474
all_interactions,1.076
all_interactions,0.702
all_interactions,1.272
all_interactions,0.574
all_interactions,2.504
all_interactions,1.523
all_interactions,0.857
all_interactions,0.701
all_interactions,0.6
all_interactions,0.616
all_interactions,0.616
all_interactions,0.768
all_interactions,1.051
all_interactions,1.395
all_interactions,0.903
all_interactions,1.188
all_interactions,4.479
all_interactions,0.819
all_interactions,0.055
all_interactions,0.908
all_interactions,2.267
all_interactions,1.651
all_interactions,0.966
all_interactions,0.639
all_interactions,6.565
all_interactions,0.696
all_interactions,0.847
all_interactions,0.553
all_interactions,0.733
all_interactions,6.135
all_interactions,0.953
all_interactions,1.655
